building_id,rep_point,geohash
13103-bldg-864,POINT (139.75573944199436 35.66702747622734),xn76uhzp2zb
13103-bldg-3211,POINT (139.7561493536748 35.66692231353991),xn76uhzqfk4
13103-bldg-10706,POINT (139.75626253685846 35.66684354629484),xn76uhzqkvw
13103-bldg-4843,POINT (139.7563385827155 35.66681979680185),xn76uhzqq9p
13103-bldg-2497,POINT (139.7563799148248 35.666922982214835),xn76uhzqzsm
13103-bldg-4537,POINT (139.75612600420072 35.66702289473985),xn76uhzr3yb
13103-bldg-1180,POINT (139.7563300539338 35.6671048552843),xn76uhzryw0
13103-bldg-3984,POINT (139.75651198428034 35.66676779007368),xn76uhztfz2
13103-bldg-9395,POINT (139.7566434807032 35.66670720488902),xn76uhzttu4
13103-bldg-9808,POINT (139.75657881906903 35.66673808940703),xn76uhztu3f
13103-bldg-9479,POINT (139.75687795790964 35.66670493610684),xn76uhzve79
13103-bldg-1298,POINT (139.75690909134732 35.66676541771634),xn76uhzvunb
13103-bldg-10412,POINT (139.75644617679242 35.66681709059086),xn76uhzw30x
13103-bldg-11639,POINT (139.75647911568694 35.6669102988986),xn76uhzwccz
13103-bldg-6037,POINT (139.75660764846626 35.666854387226564),xn76uhzwkzx
13103-bldg-7276,POINT (139.75670197140536 35.666808420225045),xn76uhzwpny
13103-bldg-9626,POINT (139.7566787275028 35.66697517287432),xn76uhzxnwh
13103-bldg-7708,POINT (139.7567416422777 35.66678674038461),xn76uhzy04g
13103-bldg-4534,POINT (139.75679820711198 35.6668685939885),xn76uhzy96j
13103-bldg-9963,POINT (139.75694315095743 35.66684519064986),xn76uhzykvc
13103-bldg-6566,POINT (139.75699573346932 35.66692572672806),xn76uhzyyhc
13103-bldg-5014,POINT (139.75703277494583 35.667109176407436),xn76uhzzyzh
13103-bldg-2741700000,POINT (139.75001348184347 35.66775667659991),xn76uj4gerf
13103-bldg-8011,POINT (139.7502061381944 35.66848375950071),xn76uj4zzz6
13103-bldg-2311100000,POINT (139.75058961736386 35.667138017102744),xn76uj520u2
13103-bldg-2314800000,POINT (139.75067955155103 35.66712601148386),xn76uj524f5
13103-bldg-7254,POINT (139.75084403231799 35.66719284267734),xn76uj52qww
13103-bldg-933,POINT (139.7509766863479 35.667272254345214),xn76uj58cv2
13103-bldg-3436,POINT (139.7513162384805 35.667222614055156),xn76uj5b9sn
13103-bldg-5353,POINT (139.75156763093997 35.66718120315409),xn76uj5brs3
13103-bldg-9044,POINT (139.75148291299868 35.66739178008535),xn76uj5cted
13103-bldg-3999,POINT (139.7515173637719 35.66745181764641),xn76uj5cyqu
13103-bldg-6633,POINT (139.75114298352236 35.667652666231014),xn76uj5ejsk
13103-bldg-10888,POINT (139.75154606859044 35.667526217800656),xn76uj5frhc
13103-bldg-2969,POINT (139.7515854761968 35.66758582951687),xn76uj5fxzy
13103-bldg-2150,POINT (139.75134999381376 35.66770742841232),xn76uj5g6qx
13103-bldg-2904,POINT (139.7514692110961 35.667720123921825),xn76uj5gt2b
13103-bldg-10997,POINT (139.75066192804616 35.668238503777516),xn76uj5qd3w
13103-bldg-5805,POINT (139.75068531904137 35.668289509565724),xn76uj5qfgp
13103-bldg-5948,POINT (139.75058524102843 35.66842792372521),xn76uj5r8sv
13103-bldg-5631,POINT (139.7510812585036 35.667810906846),xn76uj5sh1y
13103-bldg-834,POINT (139.75134384057412 35.66802111580061),xn76uj5v634
13103-bldg-2297,POINT (139.75147883188856 35.66802427378632),xn76uj5vm3x
13103-bldg-5217,POINT (139.7515430946134 35.66816772332957),xn76uj5ynur
13103-bldg-8213,POINT (139.75137314370548 35.668410236866826),xn76uj5ze18
13103-bldg-3031,POINT (139.75007992043126 35.66851550706856),xn76uj6bhvh
13103-bldg-7442,POINT (139.75005468579084 35.668711663667175),xn76uj6ck3c
13103-bldg-2964,POINT (139.75014867447936 35.668679559477674),xn76uj6cn7z
13103-bldg-8176,POINT (139.75021231597057 35.66873742097916),xn76uj6cryx
13103-bldg-6015,POINT (139.75011406034406 35.66877138551011),xn76uj6ctsv
13103-bldg-10223,POINT (139.75018194551396 35.66887089895947),xn76uj6fpr2
13103-bldg-2862,POINT (139.75012904094655 35.66888441730888),xn76uj6fq1b
13103-bldg-11552,POINT (139.75019588202613 35.66895960372203),xn76uj6fxxf
13103-bldg-4649,POINT (139.7500504662332 35.669196143274085),xn76uj6uhhn
13103-bldg-3194,POINT (139.7500645624198 35.669411069841104),xn76uj6vks0
13103-bldg-10660,POINT (139.7501321215366 35.66935598367557),xn76uj6vn1g
13103-bldg-4506,POINT (139.75010779373684 35.66949743679519),xn76uj6vvs3
13103-bldg-8511,POINT (139.75030915732242 35.66882208017535),xn76uj71fnr
13103-bldg-10113,POINT (139.7503855475851 35.66879496346874),xn76uj71u12
13103-bldg-9024,POINT (139.75036124022478 35.668885454023474),xn76uj7476n
13103-bldg-590,POINT (139.75039459206778 35.66898497522758),xn76uj74uhw
13103-bldg-63,POINT (139.7502279550491 35.669028130237),xn76uj750kf
13103-bldg-9321,POINT (139.750250517766 35.66906971466295),xn76uj752ue
13103-bldg-6740,POINT (139.75026878948646 35.669136767577044),xn76uj75c31
13103-bldg-10807,POINT (139.75038902769742 35.669097579913654),xn76uj75s1d
13103-bldg-6960,POINT (139.75079240431646 35.668885081359846),xn76uj76m6p
13103-bldg-8786,POINT (139.75075596407183 35.669146015967925),xn76uj77uds
13103-bldg-6016,POINT (139.75134581330283 35.668726016645266),xn76uj7c6kk
13103-bldg-6195,POINT (139.75099994341355 35.66906000339029),xn76uj7e66d
13103-bldg-9726,POINT (139.75102748321797 35.66916102652501),xn76uj7efvw
